epoch,train_accuracy,test_accuracy,test_logloss
1,0.9604155844155844,0.9576235978396344,1.513074165834052
2,0.96,0.9555463232239302,1.5639709783082099
3,0.9603116883116883,0.9551308683007894,1.538001056679685
4,0.9598961038961039,0.9563772330702118,
5,0.9592727272727273,0.9559617781470711,1.5591784027641447
6,0.9586493506493506,0.9547154133776485,1.5327584493192177
7,0.9596883116883117,0.9559617781470711,1.5440856094882183
8,0.9595844155844155,0.9551308683007894,1.5422937437446407
9,0.9606233766233766,0.9572081429164936,1.5169303468703028
10,0.9602077922077922,0.9559617781470711,1.5325705657653657
11,0.9590649350649351,0.9563772330702118,1.5326317914821168
12,0.9598961038961039,0.9551308683007894,1.505596089694714
